Crop_Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,fertilizer_per_area,pesticide_per_area,production_per_area,Crop_Bajra,Crop_Barley,Crop_Dry chillies,Crop_Garlic,Crop_Gram,Crop_Groundnut,Crop_Horse-gram,Crop_Jowar,Crop_Linseed,Crop_Maize,Crop_Masoor,Crop_Moong(Green Gram),Crop_Moth,Crop_Oilseeds,Crop_Onion,Crop_Other  Rabi pulses,Crop_Other Cereals,Crop_Other Kharif pulses,Crop_Other Summer Pulses,Crop_Peas & beans (Pulses),Crop_Potato,Crop_Ragi,Crop_Rapeseed &Mustard,Crop_Rice,Crop_Sannhamp,Crop_Sesamum,Crop_Small millets,Crop_Soyabean,Crop_Sugarcane,Crop_Sunflower,Crop_Tobacco,Crop_Turmeric,Crop_Urad,Crop_Wheat,Crop_other oilseeds,Season_Rabi,Season_Summer,Season_Whole Year
-1.6222298259664054,-0.4120902245840908,-0.22883409668266572,-0.030788629127941364,-0.3099448835604935,-0.3813082428844301,1.5,-0.09277623490447709,-0.09360529949665604,-0.2672243771864296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1.6222298259664054,-0.32672918521308475,-0.2249748696894813,-0.030788629127941364,-0.2854890166029417,-0.32684216643935193,0.68,-0.09105068581164147,-0.08910211758661712,-0.295961980355872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.6222298259664054,1.123195819544585,5.791733629428033,-0.030788629127941364,0.12991329428814885,0.5983073716950822,58.65,-0.09104993091622918,-0.08910014752886637,4.851431745255634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1.6222298259664054,-0.4093090048022375,-0.22863668475152316,-0.030788629127941364,-0.3091480664005115,-0.37953363786128136,1.07,-0.09107408759940697,-0.08916318945514043,-0.26183064135965295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.6222298259664054,-0.410772110943402,-0.22820837136520492,-0.030788629127941364,-0.30956724509604705,-0.3804671978497624,6.99,-0.09110016844662495,-0.0892312528906452,0.25861451364808985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-1.6222298259664054,-0.4101130541230576,-0.22880236976516066,-0.030788629127941364,-0.30937842586382386,-0.3800466753324286,0.26,-0.09108373642252836,-0.08918837008078234,-0.33338102838303224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1.6222298259664054,-0.27819624096292345,-0.2248876206663424,-0.030788629127941364,-0.27158436834202354,-0.29587488826288844,0.44,-0.09105039615128077,-0.08910136165721366,-0.31685754300266156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.6222298259664054,-0.3986981899946927,-0.2285326909663677,-0.030788629127941364,-0.30610807676171764,-0.37276322533220657,0.34,-0.09105496893115707,-0.08911329528443009,-0.32595245756017116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-1.6222298259664054,4.561653424918178,0.3978016070498972,-0.030788629127941364,1.1150285454124365,2.7922742700298526,1.88,-0.09104990017799573,-0.08910006731100568,-0.1887051898247282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
-1.6222298259664054,-0.41042940139682293,-0.22875918590522323,-0.030788629127941364,-0.309469059095291,-0.38024852614074883,0.69,-0.0910900340912984,-0.08920480516698093,-0.2954441971888972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-1.4645074562136637,-0.38662426904598335,-0.22790872825543493,0.5386628935930188,-0.30235429733954583,-0.36505925281465074,0.54,-0.09084375761803677,-0.08910701640409927,-0.30769572879972457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.4645074562136637,-0.41153661685500154,-0.22878650630640815,0.5386628935930188,-0.3097795727746788,-0.38095500396986964,1.3,-0.09096070555803877,-0.08940038269274428,-0.24354725991606654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.4645074562136637,-0.11059809154934375,-0.2062841900659474,0.5386628935930188,-0.22008303126170486,-0.18893601210489452,1.12,-0.09084120867215506,-0.08910062232145649,-0.25669046124749273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
