Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Urad,2014,Kharif     ,Uttarakhand,12610.0,9538.0,1287.4,1903605.6,4161.3,0.76
Urad,2014,Summer     ,Uttarakhand,57.0,32.0,1287.4,8604.72,18.81,0.56
Wheat,2014,Rabi       ,Uttarakhand,343879.0,662026.0,1287.4,51911973.84,113480.07,1.93
other oilseeds,2014,Kharif     ,Uttarakhand,134.0,91.0,1287.4,20228.64,44.22,0.68
other oilseeds,2014,Rabi       ,Uttarakhand,420.0,198.0,1287.4,63403.2,138.6,0.47
Arhar/Tur,2015,Kharif     ,Uttarakhand,3334.0,2740.0,1247.6,526471.94,1100.22,0.82
Bajra,2015,Kharif     ,Uttarakhand,2.0,2.0,1247.6,315.82,0.66,1.0
Barley,2015,Rabi       ,Uttarakhand,18367.0,18061.0,1247.6,2900332.97,6061.11,0.98
Garlic,2015,Whole Year ,Uttarakhand,3564.0,21718.0,1247.6,562791.24,1176.12,6.09
Gram,2015,Rabi       ,Uttarakhand,646.0,540.0,1247.6,102009.86,213.18,0.84
Groundnut,2015,Kharif     ,Uttarakhand,929.0,1278.0,1247.6,146698.39,306.57,1.38
Horse-gram,2015,Kharif     ,Uttarakhand,11580.0,10292.0,1247.6,1828597.8,3821.4,0.89
Jowar,2015,Kharif     ,Uttarakhand,5.0,4.0,1247.6,789.55,1.65,0.8
Maize,2015,Kharif     ,Uttarakhand,22123.0,38135.0,1247.6,3493442.93,7300.59,1.72
Maize,2015,Summer     ,Uttarakhand,43.0,73.0,1247.6,6790.13,14.19,1.7
Masoor,2015,Rabi       ,Uttarakhand,10043.0,7523.0,1247.6,1585890.13,3314.19,0.75
Moong(Green Gram),2015,Kharif     ,Uttarakhand,3.0,2.0,1247.6,473.73,0.99,0.67
Moong(Green Gram),2015,Summer     ,Uttarakhand,15.0,9.0,1247.6,2368.65,4.95,0.6
Moth,2015,Kharif     ,Uttarakhand,15.0,8.0,1247.6,2368.65,4.95,0.53
Moth,2015,Rabi       ,Uttarakhand,15858.0,15520.0,1247.6,2504136.78,5233.14,0.98
Onion,2015,Whole Year ,Uttarakhand,3268.0,17246.0,1247.6,516049.88,1078.44,5.28
Other  Rabi pulses,2015,Rabi       ,Uttarakhand,4.0,4.0,1247.6,631.64,1.32,1.0
Other Kharif pulses,2015,Kharif     ,Uttarakhand,12297.0,12055.0,1247.6,1941819.27,4058.01,0.98
Peas & beans (Pulses),2015,Rabi       ,Uttarakhand,4983.0,4666.0,1247.6,786865.53,1644.39,0.94
Potato,2015,Kharif     ,Uttarakhand,7364.0,69359.0,1247.6,1162849.24,2430.12,9.42
Potato,2015,Rabi       ,Uttarakhand,4863.0,40894.0,1247.6,767916.33,1604.79,8.41
Ragi,2015,Kharif     ,Uttarakhand,105450.0,148705.0,1247.6,16651609.5,34798.5,1.41
Rapeseed &Mustard,2015,Rabi       ,Uttarakhand,12275.0,11611.0,1247.6,1938345.25,4050.75,0.95
Rice,2015,Kharif     ,Uttarakhand,252163.0,591755.0,1247.6,39819059.33,83213.79,2.35
